t_unix,x,y,z,risk
1773591740.246506,0.008106868714094162,-0.005998170003294945,0.007965087890625,1.0
1773591740.746541,0.01033362839370966,-0.0002943631261587143,0.001922607421875,1.0
1773591741.2465942,0.01078727375715971,0.0022110790014266968,-0.000396728515625,1.0
1773591741.7461922,0.013272173702716827,0.00942611787468195,0.0013427734375,1.0
1773591742.246188,0.012926358729600906,0.013671375811100006,0.00347900390625,1.0
1773591742.746972,0.01431576069444418,0.020375950261950493,0.003570556640625,1.0
1773591743.2461793,0.0024458353873342276,0.022924991324543953,0.00482177734375,1.0
1773591743.746187,0.0013236337108537555,0.02262185513973236,0.0052490234375,1.0
1773591744.2462277,0.008129152469336987,0.018628180027008057,0.00128173828125,1.0
1773591744.746608,0.010931944474577904,0.01910261996090412,-0.004425048828125,1.0
1773591745.246189,0.011778689920902252,0.014307066798210144,-0.0086669921875,1.0
1773591745.7462862,0.007194394711405039,0.006907707080245018,-0.012481689453125,1.0
1773591746.2463658,0.0008014572667889297,0.0035995098296552896,-0.0205078125,1.0
1773591746.7466578,-0.001001540687866509,0.002269705291837454,-0.0240478515625,1.0
1773591747.2462914,-0.004540904425084591,0.005650217644870281,-0.024810791015625,1.0
1773591747.746257,-0.004261264577507973,0.0065012602135539055,-0.02508544921875,1.0
1773591748.2462597,-0.007570605259388685,0.012862189672887325,-0.02777099609375,1.0
1773591748.746749,-0.006275631487369537,0.010297901928424835,-0.0267333984375,1.0
1773591749.246232,-0.006805595476180315,0.00415810476988554,-0.021270751953125,1.0
1773591749.7464583,-0.009029647335410118,-0.002616400131955743,-0.018768310546875,1.0
1773591750.2463331,-0.006016017869114876,-0.005066282115876675,-0.017547607421875,1.0
1773591750.7464247,-0.0026225419715046883,-0.007298680953681469,-0.012451171875,1.0
1773591751.2462204,-0.0003543603525031358,-0.01011553406715393,-0.009002685546875,1.0
1773591751.7465696,0.0019290709169581532,-0.01778719201683998,-0.005950927734375,1.0
1773591752.2462733,0.008053361438214779,-0.017805807292461395,-0.004547119140625,1.0
1773591752.7465281,0.009317793883383274,-0.01584651879966259,-0.006866455078125,1.0
1773591753.2462676,0.006811195984482765,-0.01710745319724083,-0.00701904296875,1.0
1773591753.74625,0.003380119102075696,-0.018474021926522255,-0.00537109375,1.0
1773591754.246234,-0.0018448723712936044,-0.013119429349899292,-0.00146484375,1.0
1773591754.7466547,-0.010625045746564865,-0.010092698037624359,0.00079345703125,1.0
1773591755.2462962,-0.016257958486676216,-0.012557103298604488,0.00286865234375,1.0
1773591755.7463014,-0.02645276114344597,-0.017548348754644394,0.006591796875,1.0
1773591756.2462387,-0.03032701462507248,-0.01929617114365101,0.012359619140625,1.0
1773591756.7465792,-0.028849385678768158,-0.023979725316166878,0.01617431640625,1.0
1773591757.2464283,-0.027072304859757423,-0.02766062691807747,0.02105712890625,1.0
1773591757.7462714,-0.02638726681470871,-0.02545766718685627,0.026641845703125,1.0
1773591758.2468991,-0.028237847611308098,-0.023087361827492714,0.03424072265625,1.0
1773591758.7466564,-0.031377870589494705,-0.0207151398062706,0.038543701171875,1.0
1773591759.246286,-0.033709216862916946,-0.019384991377592087,0.04302978515625,1.0
1773591759.7462463,-0.03413455933332443,-0.02150208130478859,0.04510498046875,1.0
1773591760.246395,-0.033601064234972,-0.023546503856778145,0.049407958984375,1.0
1773591760.7466772,-0.03377890586853027,-0.021443352103233337,0.048858642578125,1.0
1773591761.2463245,-0.028979364782571793,-0.02424567937850952,0.048095703125,1.0
1773591761.746196,-0.023579757660627365,-0.02601950615644455,0.0504150390625,1.0
1773591762.246203,-0.01580142416059971,-0.02534286119043827,0.05291748046875,1.0
1773591762.746427,-0.005821531172841787,-0.020973140373826027,0.055633544921875,1.0
1773591763.2463815,-0.002441116375848651,-0.01803341507911682,0.057830810546875,1.0
1773591763.7462265,0.004069478716701269,-0.02045970782637596,0.06097412109375,1.0
1773591764.2462385,0.006264050491154194,-0.02406848967075348,0.065093994140625,1.0
1773591764.746619,0.008776305243372917,-0.01879647560417652,0.064971923828125,1.0
1773591765.2462926,0.011212343350052834,-0.01879376731812954,0.064910888671875,1.0
1773591765.7462156,0.014970638789236546,-0.02023720182478428,0.068817138671875,1.0
1773591766.2462466,0.017950130626559258,-0.014695403166115284,0.07208251953125,1.0
1773591766.7471097,0.015044634230434895,-0.01756943389773369,0.07568359375,1.0
1773591767.246345,0.013637916184961796,-0.023841194808483124,0.075103759765625,1.0
1773591767.746425,0.018719464540481567,-0.023850249126553535,0.07318115234375,1.0
1773591768.2464259,0.01922052726149559,-0.019382048398256302,0.068115234375,1.0
1773591768.7473867,0.017116215080022812,-0.017565477639436722,0.059356689453125,1.0
1773591769.2465415,0.01191256009042263,-0.017023136839270592,0.050872802734375,1.0
1773591769.7462773,0.008386967703700066,-0.011854205280542374,0.04608154296875,1.0
1773591770.2463171,0.011798539198935032,-0.007676044944673777,0.046417236328125,1.0
1773591770.746503,0.015646889805793762,-0.008100641891360283,0.047637939453125,1.0
1773591771.2463148,0.020499588921666145,-0.00864658784121275,0.0487060546875,1.0
1773591771.7463005,0.021031824871897697,-0.006063437554985285,0.05059814453125,1.0
1773591772.246351,0.02114328369498253,-0.007234884891659021,0.0479736328125,1.0
1773591772.7464614,0.024739671498537064,-0.00220811297185719,0.045196533203125,1.0
1773591773.2462273,0.02725781686604023,0.002450888277962804,0.044464111328125,1.0
1773591773.7462778,0.027990620583295822,0.008114462718367577,0.039215087890625,1.0
1773591774.2462738,0.028682874515652657,0.018176238983869553,0.031097412109375,1.0
1773591774.7473125,0.03247622773051262,0.010210160166025162,0.027069091796875,1.0
1773591775.246425,0.03236072137951851,0.01106278970837593,0.02447509765625,1.0
1773591775.74632,0.033429473638534546,0.01298278197646141,0.02020263671875,1.0
1773591776.2462254,0.03281094878911972,0.012283493764698505,0.013824462890625,1.0
1773591776.7467096,0.032129816710948944,0.015529748052358627,0.009796142578125,1.0
1773591777.2462587,0.02209288626909256,0.011325955390930176,0.005096435546875,1.0
1773591777.7462947,0.017924141138792038,0.009596026502549648,0.004364013671875,1.0
1773591778.2462866,0.015125581063330173,0.010317848064005375,0.003448486328125,1.0
1773591778.7464628,0.015458243899047375,0.011630506254732609,0.00439453125,1.0
1773591779.2463105,0.011414442211389542,0.011656724847853184,0.007110595703125,1.0
1773591779.746219,0.008204247802495956,0.012472901493310928,0.00628662109375,1.0
1773591780.2463508,0.005793308839201927,0.011825677007436752,0.0037841796875,1.0
1773591780.747133,0.005427045281976461,0.010388754308223724,0.002838134765625,1.0
1773591781.2462616,0.0045017157681286335,0.00869264267385006,0.002410888671875,1.0
1773591781.746226,0.0010477101895958185,0.0062944479286670685,0.001129150390625,1.0
1773591782.2463312,-0.0020730625838041306,0.009506858885288239,0.002960205078125,1.0
1773591782.747042,-0.007783215027302504,0.013725361786782742,0.0040283203125,1.0
1773591783.2464335,-0.009632818400859833,0.011787707917392254,0.002410888671875,1.0
1773591783.7463331,-0.008915410377085209,0.011446048505604267,0.003265380859375,1.0
1773591784.2463317,-0.0022791249211877584,0.01609407179057598,0.004608154296875,1.0
1773591784.7466686,0.0014313787687569857,0.02230934612452984,0.009033203125,1.0
1773591785.2463546,0.002717878669500351,0.026650872081518173,0.01019287109375,1.0
1773591785.7462585,0.00246298685669899,0.030851522460579872,0.01025390625,1.0
1773591786.2462697,0.005757649429142475,0.02917739935219288,0.010009765625,1.0
1773591786.747059,0.012169118039309978,0.03608370199799538,0.007415771484375,1.0
1773591787.2462454,0.017772668972611427,0.041283346712589264,0.0067138671875,1.0
1773591787.7462244,0.020025381818413734,0.03936052694916725,0.007354736328125,1.0
